,system,corr,test_size,MAPE_linear_size,MAPE_polylinear_size,MAPE_DT_size,MAPE_RF_size,MAPE_linear_gadget,MAPE_polylinear_gadget,MAPE_DT_gadget,MAPE_RF_gadget
0,xz,0.8568619949703411,0.95,0.05891284693829152,0.05748945644363068,0.07802506591464933,0.05871301977725401,0.0427048112180019,0.042369519008179445,0.0421516464400394,0.03886981759593411
1,nginx,0.9980313187017958,0.95,0.4771126387028232,0.5116753358908359,0.23882942954901154,0.34937551896359736,0.3716900135224985,0.3952678295401351,0.18019856479705004,0.23093636580260266
2,x264,0.33990612087816924,0.95,0.37319308618705194,0.3828269418674423,0.22012514554047952,0.3090083629054284,0.3386324716734253,0.3419300050948806,0.1710966608014822,0.2631696110125702
3,sqlite,0.9158147132466652,0.95,0.3561265782262818,0.4100924941671361,0.06616447905635499,0.1697673215556408,0.08829276747663455,0.09459904398482932,0.0691012733228089,0.05447634751988401
4,xz,0.8568619949703411,0.9,0.06681511021603576,0.05993728200716561,0.08757966126140154,0.06689583478782163,0.048628239030646496,0.04275795638394412,0.07470069277017488,0.04829810052519307
5,nginx,0.9980313187017958,0.9,0.4716866894412576,0.5323608564524367,0.20138606331944386,0.15565306640219537,0.3663963430444187,0.4048917311067731,0.15922020426525468,0.12297220864404933
6,x264,0.33990612087816924,0.9,1.2981619209187594,0.7248954912229622,0.3950822014840532,0.619874229595546,0.35885948978071774,0.32727341959142986,0.14650439350495273,0.18418472794024304
7,sqlite,0.9158147132466652,0.9,0.23490079843510828,0.3258402637144599,0.041028742850539326,0.041141416336341316,0.06093476569580657,0.07579835228314682,0.03300919767678937,0.043199347509011075
8,xz,0.8568619949703411,0.8,0.08900586309463832,0.05026900887100792,0.07949764420325134,0.050350839346495035,0.0643011447208697,0.03632811500561967,0.049135959229180716,0.03326743103579591
9,nginx,0.9980313187017958,0.8,0.3437686398912622,0.38759631497778885,0.16065285661072387,0.13892832501571417,0.26726717156230795,0.30244853777438213,0.14427003563329271,0.10983813538341494
10,x264,0.33990612087816924,0.8,0.8638564657643506,0.5492426106543965,0.4189843887525133,0.32552471403132016,0.16912647497502306,0.23337560423678827,0.16606296624068664,0.125956803256463
11,sqlite,0.9158147132466652,0.8,0.07251283792436873,0.19396680393740534,0.011568167853291202,0.0314001668709963,0.06418523198651971,0.052766609927628806,0.029431404058981193,0.028374880564310218
12,xz,0.8568619949703411,0.7,0.1853283211765743,0.04838320838683784,0.07211517559422247,0.047016459273182376,0.1345816846100285,0.03369553183940287,0.04988693083088423,0.033710205484563605
13,nginx,0.9980313187017958,0.7,0.32019420402716775,0.3317227094852106,0.13779094021070148,0.11527940891946235,0.25087925119908255,0.2616895141456181,0.10738337214101608,0.09941141067032938
14,x264,0.33990612087816924,0.7,0.5689164482849384,0.5015988217173912,0.1580334659858633,0.2752364192509558,0.13367718517021315,0.1674245078082593,0.16299535794807216,0.12110382391703782
15,sqlite,0.9158147132466652,0.7,0.04782911347817391,0.16240703812333257,0.010888865265881575,0.017511344824381877,0.03634996694738964,0.04818412307295937,0.01346598271177369,0.0172898665932981
16,xz,0.8568619949703411,0.5,0.0693549850626866,0.049799767281872985,0.07680184580346902,0.04682104536696885,0.05079750891611077,0.0348730984826652,0.04359361055340889,0.031014828284223278
17,nginx,0.9980313187017958,0.5,0.2528063690591814,0.28793919383688354,0.11291766408741805,0.10201922825329243,0.24049754709030588,0.22636558495182432,0.10854344866717794,0.09269515004717055
18,x264,0.33990612087816924,0.5,0.5154181259023425,0.5806344887704034,0.1373057423484466,0.14402869758584858,0.1204895841856134,0.10441907885351386,0.11926188655828916,0.10200467056565563
19,sqlite,0.9158147132466652,0.5,0.040075314065004725,0.09798600239802659,0.004004409577766595,0.009195899975974477,0.03342721491598435,0.03599266218980865,0.006840868959061686,0.009589173873549805
20,xz,0.8568619949703411,0.1,0.061066442810754774,0.05515614593341363,0.05474874542288648,0.046514078862049044,0.042809459039624485,0.03375893231394845,0.034339579821325676,0.02780465383796783
21,nginx,0.9980313187017958,0.1,0.06130707417445229,0.13690180737976804,0.09363251702182569,0.05519457382427935,0.06323051270021533,0.1030609787838114,0.07719185257481463,0.055231932422994956
22,x264,0.33990612087816924,0.1,0.30381458609588485,0.4380063749098184,0.08545294880256137,0.060036660923460695,0.13098451362621116,0.10079012802258251,0.045138258681260715,0.05350729166057148
23,sqlite,0.9158147132466652,0.1,0.022285050074229963,0.0812241007674707,0.003181959187934866,0.0029926094640111366,0.02381437880923374,0.029344381171644163,0.00459728107196893,0.004473393988033161
